"NBN Atlas record ID","Occurrence ID","Licence","Rightsholder","Scientific name","Common name","Species ID (TVK)","Taxon Rank","Occurrence status","Start date","Start date day","Start date month","Start date year","End date","End date day","End date month","End date year","Locality","OSGR","Latitude (WGS84)","Longitude (WGS84)","Coordinate uncertainty (m)","Verbatim depth","Recorder","Determiner","Individual count","Abundance","Abundance scale","Organism scope","Organism remarks","Sex","Life stage","Occurrence remarks","Identification verification status","Basis of record","Survey key","Dataset name","Dataset ID","Data provider","Data provider ID","Institution code","Kingdom","Phylum","Class","Order","Family","Genus","OSGR 100km","OSGR 10km","OSGR 2km","OSGR 1km","Country","State/Province"
"87d86e9f-082d-47a9-bd01-54ae4d9d8589","CI00016600007KRO","CC-BY","HBRG","Bombus monticola","Bilberry Bumblebee","NHMSYS0000875571","species","present","2009-03-23","23","03","2009","","","","","Bangly Hill","NT479759","55.97371","-2.83556","100.0","","Abbie Marland","Abbie Marland","1","","","","","","queen","Forage: Salix sp. Photograph provided.","Accepted","HumanObservation","CI0001660000001O","HBRG Insects Dataset","dr965","Highland Biological Recording Group","dp7","HBRG","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","NT","NT47","NT47S","NT4775","United Kingdom","Scotland"
"495d6b4d-9a17-447c-ad8c-f0f435cb5b32","CI00016600009LMV","CC-BY","HBRG","Bombus monticola","Bilberry Bumblebee","NHMSYS0000875571","species","present","2014-03-31","31","03","2014","","","","","Abernethy Forest RSPB","NJ0023617563","57.23786","-3.65451","1.0","","Stewart Taylor","Stewart Taylor","","","","","","","","A queen? resting in hole in soil on up-turned scots pine root.","Accepted","HumanObservation","CI0001660000001O","HBRG Insects Dataset","dr965","Highland Biological Recording Group","dp7","HBRG","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","NJ","NJ01","NJ01D","NJ0017","United Kingdom","Scotland"
"1cc3ed00-bcda-4d22-8836-80f7a2e716c1","CI0001660000AZ88","CC-BY","HBRG","Bombus monticola","Bilberry Bumblebee","NHMSYS0000875571","species","present","2017-03-30","30","03","2017","","","","","Drumashie","NH612358","57.39184","-4.31019","100.0","","Paul Johnston","Matt Smith","","","","","","","","identified from photograph on iRecord.","Accepted","HumanObservation","CI0001660000001O","HBRG Insects Dataset","dr965","Highland Biological Recording Group","dp7","HBRG","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","NH","NH63","NH63C","NH6135","United Kingdom","Scotland"
"524731ff-8054-495a-af43-730cb6fb957a","CI00016600000WOF","CC-BY","HBRG","Bombus monticola","Bilberry Bumblebee","NHMSYS0000875571","species","present","2002-02-20","20","02","2002","","","","","Red burn","NH8601","57.09045","-3.87464","1000.0","","Keith Duncan","Keith Duncan","3","","","","","","","Forage: Vaccinium myrtillus.","Accepted","HumanObservation","CI0001660000001O","HBRG Insects Dataset","dr965","Highland Biological Recording Group","dp7","HBRG","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","NH","NH80","NH80Q","NH8601","United Kingdom","Scotland"
"db39f0e3-a03a-47d0-bd6c-8b37d914bfb3","CI00016600000SEI","CC-BY","HBRG","Bombus monticola","Bilberry Bumblebee","NHMSYS0000875571","species","present","2002-10-01","01","10","2002","","","","","Cairngorm","NH989060","57.13421","-3.67113","100.0","","Gill Nisbet","Gill Nisbet","10","","","","","","","Forage: Senecio jacobaea, C. arvense. Nectaring.","Accepted","HumanObservation","CI0001660000001O","HBRG Insects Dataset","dr965","Highland Biological Recording Group","dp7","HBRG","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","NH","NH90","NH90Y","NH9806","United Kingdom","Scotland"
"cd129537-0e74-44a3-a8e8-bf49115afd44","CI00016600000SEL","CC-BY","HBRG","Bombus monticola","Bilberry Bumblebee","NHMSYS0000875571","species","present","2002-10-01","01","10","2002","","","","","Ryvoan NJ01","NJ0011","57.18348","-3.64771","1000.0","","Gill Nisbet","Gill Nisbet","","","","","","male","","Forage: Erica tetralix. Nectaring.","Accepted","HumanObservation","CI0001660000001O","HBRG Insects Dataset","dr965","Highland Biological Recording Group","dp7","HBRG","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","NJ","NJ01","NJ01A","NJ0011","United Kingdom","Scotland"
"8502f3c5-adf7-4cea-96ed-3cfd9dc98548","CI00016600000SW2","CC-BY","HBRG","Bombus monticola","Bilberry Bumblebee","NHMSYS0000875571","species","present","2001-10-04","04","10","2001","","","","","Cairngorm car park","NH988061","57.13508","-3.67282","100.0","","Gill Nisbet","Gill Nisbet","12","","","","","","","Forage: Senecio jacobaea.","Accepted","HumanObservation","CI0001660000001O","HBRG Insects Dataset","dr965","Highland Biological Recording Group","dp7","HBRG","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","NH","NH90","NH90Y","NH9806","United Kingdom","Scotland"
"75edac2b-318e-44cd-8c18-8357fe5bdf98","CI00016600009FDC","CC-BY","HBRG","Bombus monticola","Bilberry Bumblebee","NHMSYS0000875571","species","present","2014-10-10","10","10","2014","","","","","Ben Wyvis","NH447665","57.66199","-4.60399","100.0","","Murdo Macdonald","Murdo Macdonald","1","","","","","","","Probably a queen.","Accepted","HumanObservation","CI0001660000001O","HBRG Insects Dataset","dr965","Highland Biological Recording Group","dp7","HBRG","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","NH","NH46","NH46N","NH4466","United Kingdom","Scotland"
"5c91c704-efda-4760-8d45-3cefc72ca2a1","CI00016600000SOR","CC-BY","HBRG","Bombus monticola","Bilberry Bumblebee","NHMSYS0000875571","species","present","2002-10-03","03","10","2002","","","","","Coire Cas W","NH9905","57.12939","-3.66183","1000.0","","Keith Duncan","Keith Duncan","1","","","","","","","Forage: Senecio jacobaea.","Accepted","HumanObservation","CI0001660000001O","HBRG Insects Dataset","dr965","Highland Biological Recording Group","dp7","HBRG","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","NH","NH90","NH90X","NH9905","United Kingdom","Scotland"
"0ad4a2c9-83a6-41e5-849b-a766ae6be46f","CI00016600000TDD","CC-BY","HBRG","Bombus monticola","Bilberry Bumblebee","NHMSYS0000875571","species","present","2002-10-06","06","10","2002","","","","","Cairngorm","NH990059","57.13333","-3.66944","100.0","","Gill Nisbet","Gill Nisbet","7","","","","","","","Forage: Senecio jacobaea. Nectaring. Last m.","Accepted","HumanObservation","CI0001660000001O","HBRG Insects Dataset","dr965","Highland Biological Recording Group","dp7","HBRG","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","NH","NH90","NH90X","NH9905","United Kingdom","Scotland"
